geoid,region_type,region_name,year,measure,value,type
51510200701,tract,"Census Tract 2007.01, Alexandria city, Virginia",2019,num_post_hs_edu,614,count
51023040200,tract,"Census Tract 402, Botetourt County, Virginia",2019,perc_post_hs_edu,43.6538461538462,percent
51153901012,tract,"Census Tract 9010.12, Prince William County, Virginia",2019,num_post_hs_edu,2051,count
51810046010,tract,"Census Tract 460.10, Virginia Beach city, Virginia",2019,perc_post_hs_edu,57.0915619389587,percent
51093280400,tract,"Census Tract 2804, Isle of Wight County, Virginia",2019,perc_post_hs_edu,49.5908929206688,percent
51075,county,"Goochland County, Virginia",2019,num_post_hs_edu,11568,count
51700031400,tract,"Census Tract 314, Newport News city, Virginia",2019,num_post_hs_edu,2196,count
51710001100,tract,"Census Tract 11, Norfolk city, Virginia",2019,num_post_hs_edu,707,count
51760020500,tract,"Census Tract 205, Richmond city, Virginia",2019,num_post_hs_edu,3350,count
51153901209,tract,"Census Tract 9012.09, Prince William County, Virginia",2019,perc_post_hs_edu,64.9722340879966,percent
51153901009,tract,"Census Tract 9010.09, Prince William County, Virginia",2019,num_post_hs_edu,4022,count
51153900403,tract,"Census Tract 9004.03, Prince William County, Virginia",2019,num_post_hs_edu,1856,count
51121021100,tract,"Census Tract 211, Montgomery County, Virginia",2019,perc_post_hs_edu,70.1575212047776,percent
51800,county,"Suffolk city, Virginia",2019,perc_post_hs_edu,62.7369940300466,percent
51059431002,tract,"Census Tract 4310.02, Fairfax County, Virginia",2019,perc_post_hs_edu,79.4871794871795,percent
51710002200,tract,"Census Tract 22, Norfolk city, Virginia",2019,num_post_hs_edu,1224,count
51510202002,tract,"Census Tract 2020.02, Alexandria city, Virginia",2019,num_post_hs_edu,1925,count
51003010800,tract,"Census Tract 108, Albemarle County, Virginia",2019,perc_post_hs_edu,84.5106186518929,percent
51073100203,tract,"Census Tract 1002.03, Gloucester County, Virginia",2019,perc_post_hs_edu,67.0315091210614,percent
51161031201,tract,"Census Tract 312.01, Roanoke County, Virginia",2019,perc_post_hs_edu,65.1248357424442,percent
51097,county,"King and Queen County, Virginia",2019,perc_post_hs_edu,51.0149368058215,percent
51153901416,tract,"Census Tract 9014.16, Prince William County, Virginia",2019,perc_post_hs_edu,83.8383838383838,percent
51059491705,tract,"Census Tract 4917.05, Fairfax County, Virginia",2019,num_post_hs_edu,1842,count
51173030500,tract,"Census Tract 305, Smyth County, Virginia",2019,perc_post_hs_edu,48.5176470588235,percent
51099040300,tract,"Census Tract 403, King George County, Virginia",2019,perc_post_hs_edu,63.6740852508487,percent
51013101500,tract,"Census Tract 1015, Arlington County, Virginia",2019,perc_post_hs_edu,92.5795674344997,percent
51153900802,tract,"Census Tract 9008.02, Prince William County, Virginia",2019,perc_post_hs_edu,72.2322453665737,percent
51590000400,tract,"Census Tract 4, Danville city, Virginia",2019,num_post_hs_edu,958,count
51810040200,tract,"Census Tract 402, Virginia Beach city, Virginia",2019,num_post_hs_edu,1546,count
51059452301,tract,"Census Tract 4523.01, Fairfax County, Virginia",2019,perc_post_hs_edu,55.0828313253012,percent
51155210400,tract,"Census Tract 2104, Pulaski County, Virginia",2019,num_post_hs_edu,1858,count
51013101401,tract,"Census Tract 1014.01, Arlington County, Virginia",2019,num_post_hs_edu,1003,count
51085320801,tract,"Census Tract 3208.01, Hanover County, Virginia",2019,num_post_hs_edu,1296,count
51775010300,tract,"Census Tract 103, Salem city, Virginia",2019,perc_post_hs_edu,47.4326949764085,percent
51095080303,tract,"Census Tract 803.03, James City County, Virginia",2019,num_post_hs_edu,5355,count
51059492400,tract,"Census Tract 4924, Fairfax County, Virginia",2019,num_post_hs_edu,2525,count
51019030504,tract,"Census Tract 305.04, Bedford County, Virginia",2019,perc_post_hs_edu,61.7130620985011,percent
51710006400,tract,"Census Tract 64, Norfolk city, Virginia",2019,num_post_hs_edu,1238,count
51690000300,tract,"Census Tract 3, Martinsville city, Virginia",2019,num_post_hs_edu,960,count
51059421103,tract,"Census Tract 4211.03, Fairfax County, Virginia",2019,num_post_hs_edu,3473,count
51195931100,tract,"Census Tract 9311, Wise County, Virginia",2019,perc_post_hs_edu,43.2185145317546,percent
51087201601,tract,"Census Tract 2016.01, Henrico County, Virginia",2019,perc_post_hs_edu,60.3626943005181,percent
51800075602,tract,"Census Tract 756.02, Suffolk city, Virginia",2019,num_post_hs_edu,664,count
51085320602,tract,"Census Tract 3206.02, Hanover County, Virginia",2019,num_post_hs_edu,1316,count
51710003400,tract,"Census Tract 34, Norfolk city, Virginia",2019,num_post_hs_edu,669,count
51059431802,tract,"Census Tract 4318.02, Fairfax County, Virginia",2019,perc_post_hs_edu,77.4165202108963,percent
