"GEOID","NAME","population_2009","population_margin_2009","population_2010","population_margin_2010","population_2011","population_margin_2011","population_2012","population_margin_2012","population_2013","population_margin_2013","population_2014","population_margin_2014","population_2015","population_margin_2015","population_2016","population_margin_2016","population_2017","population_margin_2017","population_2018","population_margin_2018","population_2019","population_margin_2019","doctors_2009","doctors_2010","doctors_2011","doctors_2012","doctors_2013","doctors_2014","doctors_2015","doctors_2016","doctors_2017","doctors_2018","doctors_2019"
"51710005000","Census Tract 50, Norfolk city, Virginia",1347,366,3683,1277,3098,974,2919,951,2853,861,3274,1070,3510,988,3548,1216,3646,1139,3455,1161,3167,1011,0,0,0,0,0,0,0,0,0,0,0
"51710005100","Census Tract 51, Norfolk city, Virginia",747,161,4181,1368,4295,1297,4345,1145,4923,1361,4900,1459,5200,1555,5075,1451,4825,1329,4620,1380,4394,1275,0,0,0,0,0,0,0,0,0,0,0
"51710005500","Census Tract 55, Norfolk city, Virginia",3199,949,3279,949,3865,1591,3887,1504,3841,1576,3852,1341,3824,1476,3489,1096,3384,1200,3091,992,2931,1132,0,0,0,0,0,0,0,0,0,0,0
"51710005601","Census Tract 56.01, Norfolk city, Virginia",4318,1166,4669,1378,4706,1309,4489,1176,4649,1262,4400,1122,4435,1193,4524,1272,4576,1219,4431,1042,4432,1113,0,0,0,0,0,0,0,0,0,0,0
"51710005602","Census Tract 56.02, Norfolk city, Virginia",3526,1022,3470,983,3520,998,3221,828,3294,860,3206,791,3433,758,3807,881,3814,865,3919,895,3792,957,21,23,22,24,23,21,21,22,20,20,21
"51710005701","Census Tract 57.01, Norfolk city, Virginia",4641,1135,4880,1142,5279,1262,5571,1335,5355,1383,5273,1427,5278,1516,5254,1494,5106,1823,5126,1624,5037,1881,11,11,11,12,12,11,11,12,10,12,11
"51710005702","Census Tract 57.02, Norfolk city, Virginia",2843,696,2835,644,2902,635,2706,632,2798,561,2509,529,2435,617,2302,612,2295,520,2385,618,2546,741,0,0,0,0,0,0,0,0,0,0,0
"51710005800","Census Tract 58, Norfolk city, Virginia",5438,703,5212,1281,4934,1115,4875,1159,4603,1077,4854,1178,4519,1019,4543,1103,4658,1278,4904,1329,4758,1292,0,0,0,0,0,0,0,0,0,0,0
"51710005901","Census Tract 59.01, Norfolk city, Virginia",4277,1224,5218,1495,5213,1151,5572,1216,5339,1286,5270,1285,4954,1077,5446,1245,5555,1330,5654,1297,5707,1475,1,1,1,1,1,1,1,1,1,1,1
"51710005902","Census Tract 59.02, Norfolk city, Virginia",3652,1074,3794,1206,3750,1182,3683,1079,3548,986,3649,1188,3694,1096,3715,1198,3891,1230,4136,1246,3950,1337,1,1,1,1,1,1,1,1,1,1,1
"51710005903","Census Tract 59.03, Norfolk city, Virginia",1815,464,1901,545,1945,508,1810,419,1856,369,1785,357,1658,312,1672,309,1753,346,1834,353,1805,416,0,0,0,0,0,0,0,0,0,0,0
"51710006000","Census Tract 60, Norfolk city, Virginia",4226,1053,4129,977,3942,1144,3702,943,3928,1117,3725,840,3770,886,3948,908,3947,882,3876,1040,3838,952,0,0,0,0,0,0,0,0,0,0,0
"51710006100","Census Tract 61, Norfolk city, Virginia",7649,2434,8205,2383,7927,2037,7803,2126,7956,2104,7692,2037,7847,2190,7442,2301,7407,2251,7458,2357,7641,2598,1,1,1,1,1,1,1,1,1,1,1
