"year","geoid_tr","OBESITY"
2018,51760041100,23.2
2017,51810046012,29.3
2019,51740211400,46.9
2018,51810045603,26
2018,51710000800,30.2
2019,51810046015,28.8
2019,51810045000,19.8
2018,51810045407,28.7
2019,51700032129,34
2018,51510200301,24.6
2019,51810045603,27.9
2018,51770002500,45
2019,51740211500,41.6
2017,51810040600,34.5
2019,51770000500,39.9
2017,51710000300,30.7
2018,51740213104,39.3
2018,51510200405,26.9
2018,51550021101,28.4
2018,51700032005,31.2
2018,51800075204,33.5
2017,51810043600,24.3
2017,51760021200,42.5
2017,51650010601,44.2
2018,51700032129,32.9
2017,51550020806,28.7
2017,51650011600,38.3
2017,51710006800,31.8
2017,51550020002,37
2019,51710006902,30.1
2019,51550020807,32.1
2019,51800075703,33
2018,51710004200,51.4
2018,51760021100,40.4
2017,51760041300,37.4
2019,51760010500,36
2019,51800075102,28.3
2018,51760060200,43.2
2017,51650010313,33.1
2017,51760071002,35.5
2019,51810045808,30.8
2018,51810045420,25.9
2018,51810045810,37.4
2017,51700031601,35.1
2017,51760040200,25.6
2017,51740210400,30.5
2019,51810046220,33.3
2019,51700032300,28.6
2019,51760011000,42.4
2019,51810044808,29.8
2019,51760011100,35
2019,51810046221,35.5
2019,51740213001,31.3
2019,51810045423,29
2019,51710001700,30.1
2017,51510200105,31.6
2019,51710001200,27.8
2017,51810046204,27.6
2018,51710000202,32.7
2017,51810046010,29.3
2017,51760070601,39.5
2017,51760040900,22.3
2018,51760030200,28.9
2018,51510201900,20.4
2017,51810041400,25
2018,51710000902,24.3
2019,51550020806,31.4
2019,51800075403,30.7
2017,51700032126,35.8
2018,51760040800,23.4
2018,51760010500,33.7
2018,51760070100,25.4
2017,51550021013,28.6
2018,51550021301,33.6
2017,51710004700,27.4
2018,51760040500,21.9
2017,51800075801,32.4
2019,51510201300,24.4
2019,51550021013,31.6
2019,51710005000,49.5
2017,51810045422,26.4
2017,51550020809,33.8
2017,51510200405,26.9
2019,51510200301,26.9
2019,51650011100,29.6
2019,51760060400,42.4
2018,51810043600,24.3
2018,51700032211,28.7
2018,51550021013,28.6
2017,51650010312,32.2
2018,51650011900,44.3
2017,51810043800,23.7
2017,51800065300,39.3
2017,51510200103,30.8
2019,51650011600,41.9
2017,51700031100,32.2
2018,51760040200,25.6
2018,51770000602,29.6
2018,51710005902,34.1
2018,51510201600,23.9
2018,51760021200,42.5
2017,51810045810,37.4
2019,51810044805,25.8
2018,51810044808,29
2019,51710003700,28.1
2019,51810045421,27.7
2018,51550021006,29.1
2017,51760050300,21.5
2018,51650010502,40.8
2018,51510201802,26.1
2017,51770002800,31.7
2017,51810045414,32.1
2017,51700031300,38.9
2019,51760040800,24.1
2019,51810046225,27.8
2017,51710000800,30.2
2018,51550020400,38.9
2018,51710001600,37
2018,51810046224,28.7
2018,51800075404,27.7
2018,51550020904,32.1
2019,51740212300,40.4
2019,51810046002,27.8
2017,51810042400,27.8
2018,51810045604,27.4
2017,51710006607,29.6
2017,51650010306,32.3
2018,51550021004,28.8
2019,51810046207,28.3
2017,51810046212,25.7
2017,51770001800,29.4
2017,51680000201,25.7
2019,51810046224,29
2017,51710006603,30.1
2019,51650010313,36.9
2019,51810043800,24.5
2017,51810046211,27.2
2018,51810045421,27.1
2017,51510200102,28.5
2019,51760021100,43.6
2017,51550021011,28
2019,51810041400,25.8
2019,51810041200,26.2
2017,51550021402,32.6
2017,51510200703,25.3
2018,51710006606,30.6
2017,51510201500,21
2019,51710004900,31.4
2018,51810045806,32.1
2019,51810043002,24.7
2017,51760070400,25.4
2018,51810046016,25.9
2017,51710003100,40.3
2018,51510201400,21.8
2017,51700031400,35.2
2019,51810046009,28.2
2019,51510201202,23.6
2017,51710004400,39.5
2018,51680001000,28.2
2017,51700030800,46.8
2019,51510200303,28.6
2017,51650010311,34.8
2017,51760020500,25.5
2018,51710000400,31.5
2019,51700032132,31.7
2017,51710006606,30.6
2017,51810045408,27.8
2018,51800065100,45.8
2017,51740212600,36.4
2019,51810045425,28.2
2019,51710003800,21.7
2019,51510200600,30.1
2019,51710000500,32.4
2018,51760060900,36.9
2019,51510202001,22.7
2019,51650010103,33.7
2018,51810046225,27.4
2017,51710005800,41
2018,51550020804,29
2019,51760070400,26.5
2017,51770002400,45.9
2019,51740213104,39.6
2019,51550020600,36.2
2019,51810041002,32.9
2018,51810045414,32.1
2019,51710005100,48.5
2019,51810042600,28.6
2019,51800075302,33.2
2018,51650010400,43.4
2017,51710004300,48.2
2017,51680000900,29.7
2019,51800065500,45.1
2017,51650010702,33.5
2019,51810045427,29.6
2018,51810045801,27.8
2017,51760040600,21.5
2018,51800075203,28.4
2017,51810045406,28.4
2017,51770002100,26.4
2017,51800075702,32.1
2019,51510201000,23
2018,51700032132,32
2019,51710003100,40.6
2019,51650010602,48.1
2017,51710002500,29.1
2017,51700032001,27.5
2017,51760010402,29.3
2018,51510200702,20.8
2018,51510200104,30.2
2018,51710003400,44.8
2018,51810040802,30.5
2017,51810040403,28.3
2019,51550020904,35.5
2017,51710001200,27.7
2018,51800075701,35.2
2017,51710005901,39.8
2017,51810046214,26.7
2019,51700031602,32.1
2018,51810046013,30.8
2017,51810044003,26.1
2018,51510200403,21.8
2017,51760010500,33.7
2017,51800075405,28.9
2019,51810045417,27.1
2018,51550020806,28.7
2018,51800075102,27.2
2018,51740213103,32.4
2019,51510201801,25
2019,51810046010,29.7
2018,51550021005,32.1
2019,51800075701,36
2018,51810046211,27.2
2018,51770001900,29.7
2018,51710006502,31.9
2017,51810046400,27.3
2018,51800075502,32.8
2018,51710006602,28.6
2017,51710005903,34.5
2018,51810046217,25.4
2019,51810040600,35.3
2019,51700032224,36.3
2019,51510200202,23.2
2018,51700030100,45.5
2017,51550020906,31
2017,51810043002,23.8
2017,51760041200,24.3
2019,51700032126,35.9
2019,51800065300,41.4
2019,51810046013,30.6
2019,51800065100,46.1
2019,51740210500,49.6
2019,51760070801,42
2018,51700030800,46.8
2017,51650010307,32
2018,51740211900,43.5
2019,51510200102,30.8
2017,51550021009,27.7
2017,51810046225,27.4
2018,51710004700,27.4
2018,51810046204,27.6
2017,51510200303,26.9
2019,51760041600,30.7
2018,51680000600,41.6
2019,51710004100,53.7
2018,51650011000,35.4
2017,51710002800,29.2
2017,51810046016,25.9
2019,51710006400,40.2
2018,51810042400,27.8
2018,51770001200,30.7
2019,51760060900,39.8
2018,51700030400,46.8
2019,51800075501,36.7
2018,51740211600,31.7
2017,51650010200,22.2
2018,51810046223,25.7
2018,51650010309,32.3
2018,51710001100,30.5
2018,51760020200,48.9
2019,51760010900,44.9
2018,51550020003,34.1
2018,51700032117,32.7
2017,51760011100,34.4
2019,51740212801,40.4
2019,51760041200,26.1
2019,51680001800,30
2019,51510200802,28
2019,51550021010,32.9
2019,51510200103,33.8
2018,51710006000,35
2019,51800075203,28.9
2019,51770002400,48.2
2017,51710005000,48.3
2018,51510200404,21.5
2019,51770001000,45.2
2019,51710004400,40.3
2018,51700031701,25.6
2019,51770002300,38.9
2017,51760060600,26.5
2018,51740211500,38
2018,51810042801,30
2019,51800075502,33.9
2017,51810040801,27.9
2018,51710006607,29.6
2017,51710002300,24.1
2018,51800065300,39.3
2017,51760010800,43.8
2019,51700032002,30
2017,51700031701,25.6
2018,51710003600,23.3
2018,51760070300,30.1
2018,51810040402,35.1
2018,51740211800,49
2019,51810046223,26.4
2017,51740211400,43.3
2017,51700032129,32.9
2018,51760040700,22.4
2019,51510200405,29.2
